rule_type,rule_key,DepCQC,rule
CODE_SMELL,S2250,CollectionMethodsWithLinearComplexityCheck,Collection methods with O(n) performance should be used carefully
CODE_SMELL,S2178,NonShortCircuitLogicCheck,Short-circuit logic should be used in boolean contexts
CODE_SMELL,S2696,StaticFieldUpateCheck,"Instance methods should not write to ""static"" fields"
CODE_SMELL,S2442,SynchronizedLockCheck,"""Lock"" objects should not be ""synchronized"""
CODE_SMELL,S2112,URLHashCodeAndEqualsCheck,"""URL.hashCode"" and ""URL.equals"" should be avoided"
bug,S2252,ForLoopFalseConditionCheck,Loop conditions should be true at least once
bug,S2151,RunFinalizersCheck,"""runFinalizersOnExit"" should not be called"
bug,S2226,ServletInstanceFieldCheck,Servlets should not have mutable instance fields
BUG,S1849,HasNextCallingNextCheck,"""Iterator.hasNext()"" should not call ""Iterator.next()"""
BUG,S2109,ReflectionOnNonRuntimeAnnotationCheck,Reflection should not be used to check non-runtime annotations
BUG,S2175,CollectionInappropriateCallsCheck,"Inappropriate ""Collection"" calls should not be made"
CODE_SMELL,S128,SwitchCasesWithoutBreakCheck,"Switch cases should end with an unconditional ""break"" statement"
CODE_SMELL,S888,ForLoopTerminationConditionCheck,"Equality operators should not be used in ""for"" loop termination conditions"
CODE_SMELL,S2681,MultilineBlocksCurlyBracesCheck,Multiline blocks should be enclosed in curly braces
VULNERABILITY,S2386,PublicStaticMutableMembersCheck,"Mutable fields should not be ""public static"""
BUG,S1872,ClassComparedByNameCheck,Classes should not be compared by name
VULNERABILITY,S2277,RSAUsesOAEPCheck,Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding)
BUG,S2183,ShiftOnIntOrLongCheck,Ints and longs should not be shifted by zero or more than their number of bits-1
BUG,S2677,UnusedReturnedDataCheck,"""read"" and ""readLine"" return values should be used"
CODE_SMELL,S2438,ThreadAsRunnableArgumentCheck,"""Threads"" should not be used where ""Runnables"" are expected"
BUG,S2251,ForLoopIncrementSignCheck,"A ""for"" loop update clause should move the counter in the right direction"
BUG,S2674,IgnoredStreamReturnValueCheck,The value returned from a stream read should be checked
VULNERABILITY,S2077,SQLInjectionCheck,Executing SQL queries is security-sensitive
,S2095,CloseResource,Resources should be closed
,S1862,EmptyIfStmt,"Related ""if/else if"" statements should not have the same condition"
,S1206,OverrideBothEqualsAndHashcode,"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs"
,S1221,AvoidFieldNameMatchingMethodName,"Methods should not be named ""hashcode"" or ""equal"""
,S1219,NonCaseLabelInSwitchStatement,"""switch"" statements should not contain non-case labels"
,S1114,FinalizeDoesNotCallSuperFinalize,"""super.finalize()"" should be called at the end of ""Object.finalize()"" implementations"
,S1111,AvoidCallingFinalize,The Object.finalize() method should not be called
,S1181,AvoidCatchingThrowable,Throwable and Error should not be caught
,S2157,ProperCloneImplementation,"""Cloneables"" should implement ""clone"""
,S2695,CheckResultSet,"""PreparedStatement"" and ""ResultSet"" methods should be called with valid indices"
,S1244,DontUseFloatTypeForLoopIndices,Floating point numbers should not be tested for equality
,S2111,AvoidDecimalLiteralsInBigDecimalConstructor,"""BigDecimal(double)"" should not be used"
,S1148,AvoidPrintStackTrace,Throwable.printStackTrace(...) should not be called
